#: :filename=/home/mvazque2/.rbbt/tmp/tmp-542940535.Sheet1#:type=:double
#Associated.Gene.Name	Synonyms	Official name	Entrez.Taxa.ID	Entrez.Gene.ID	UniProt.SwissProt.Accession	Ensembl.Gene.ID	TFclass_human	TFclass_mouse	TFclass_rat	TFClass_classification_family_code	TFClass_classification_class_name
HNF1A	HNF1 LFB1 HNF1α	Hepatocyte nuclear factor 1-alpha 	9606|10090|10116	6927|21405|24817	P20823|P22361|P15257	ENSG00000135100|ENSMUSG00000029556|ENSRNOG00000001183	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.10	Homeo domain factors
HNF1B	LFB3 VHNF1 HNF1beta MODY5 HNF1β	Hepatocyte nuclear factor 1-beta 	9606|10090|10116	6928|21410|25640	P35680|P27889|P23899	ENSG00000275410|ENSMUSG00000020679|ENSRNOG00000002598	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.10	Homeo domain factors
HNF4A	NR2A1 HNF4	Hepatocyte nuclear factor 4-alpha 	9606|10090|10116|10116	3172|15378|25735|25735	P41235|P49698|P22449|B9VVT4	ENSG00000101076|ENSMUSG00000017950|ENSRNOG00000008895|	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.1.3	Nuclear receptors with C4 zinc fingers
HNF4G	NR2A2	Hepatocyte nuclear factor 4-gamma 	9606|10090|10116	3174|30942|365744	Q14541|Q9WUU6|F1M342	ENSG00000164749|ENSMUSG00000017688|ENSRNOG00000008971	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.1.3	Nuclear receptors with C4 zinc fingers
HOMEZ	-	Homeobox and leucine zipper protein Homez 	9606|10090|10116	57594|239099|260325	Q8IX15|Q80W88|Q8K3E9	ENSG00000215271|ENSMUSG00000057156|ENSRNOG00000014887	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.8	Homeo domain factors
HOPX	LAGY HOP OB1 NECC1 SMAP31	Homeodomain-only protein 	9606|10090|10116	84525|74318|171160	Q9BPY8|Q8R1H0|Q78ZR5	ENSG00000171476|ENSMUSG00000059325|ENSRNOG00000024689	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
HOXA1	-	Homeobox protein Hox-A1 	9606|10090|10116	3198|15394|103690132	P49639|P09022|O08656	ENSG00000105991|ENSMUSG00000029844|ENSRNOG00000005628	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXA10	-	Homeobox protein Hox-A10 	9606|10090|10116	3206|15395|100911668	P31260|P31310|A0A0G2JWY7	ENSG00000253293|ENSMUSG00000000938|ENSRNOG00000027246	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXA11	-	Homeobox protein Hox-A11 	9606|10090|10116	3207|15396|103692131	P31270|P31311|G3V6Z0	ENSG00000005073|ENSMUSG00000038210|ENSRNOG00000053884	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXA13	-	Homeobox protein Hox-A13 	9606|10090|10116	3209|15398|500129	P31271|Q62424|A0A0G2K5C1	ENSG00000106031|ENSMUSG00000038203|ENSRNOG00000053148	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXA2	-	Homeobox protein Hox-A2 	9606|10090|10116	3199|15399|103690123	O43364|P31245|P31246	ENSG00000105996|ENSMUSG00000014704|ENSRNOG00000005968	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXA3	-	Homeobox protein Hox-A3 	9606|10090|10116	3200|15400|103690130	O43365|P02831|D3ZM81	ENSG00000105997|ENSMUSG00000079560|ENSRNOG00000006281	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXA4	-	Homeobox protein Hox-A4 	9606|10090|10116	3201|15401|100912525	Q00056|P06798|P09635	ENSG00000197576|ENSMUSG00000000942|ENSRNOG00000027365	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXA5	-	Homeobox protein Hox-A5 	9606|10090|10116|10116	3202|15402|103692127|	P20719|P09021|P52949|G3V6T2	ENSG00000106004|ENSMUSG00000038253|ENSRNOG00000006466|	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
Hoxa5	-	Homeobox protein Hox-A5 	10090|10116	15402|	P09021|P52949	ENSMUSG00000038253|	NA	TFclass_mouse.present	NA	NA	NA
HOXA6	-	Homeobox protein Hox-A6 	9606|10090|10116	3203|15403|100909604	P31267|P09092|G3V6T4	ENSG00000106006|ENSMUSG00000043219|ENSRNOG00000048917	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
Hoxa6	-	Homeobox protein Hox-A6 	10090|10116	15403|100909604	P09092|G3V6T4	ENSMUSG00000043219|ENSRNOG00000048917	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
HOXA7	-	Homeobox protein Hox-A7 	9606|10090|10116|10090|10116	3204|15404|103692126|15415|497985	P31268|P02830|P09634|P09024|P18864	ENSG00000122592|ENSMUSG00000038236|ENSRNOG00000046361|ENSMUSG00000038721|ENSRNOG00000007611	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXA9	-	Homeobox protein Hox-A9 	9606|10090|10116	3205|15405|103689925	P31269|P09631|D3ZSU5	ENSG00000078399|ENSMUSG00000038227|ENSRNOG00000047484	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXB1	-	Homeobox protein Hox-B1 	9606|10090|10116	3211|15407|303491	P14653|P17919|G3V737	ENSG00000120094|ENSMUSG00000018973|ENSRNOG00000008506	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXB13	-	Homeobox protein Hox-B13	9606|10090|10116	10481|15408|303480	Q92826|P70321|D3ZWL5	ENSG00000159184|ENSMUSG00000049604|ENSRNOG00000007491	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXB2	-	Homeobox protein Hox-B2 	9606|10090|10116	3212|103889|100361765	P14652|P0C1T1|D4A426	ENSG00000173917|ENSMUSG00000075588|ENSRNOG00000008365	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXB3	-	Homeobox protein Hox-B3 	9606|10090|10116	3213|15410|303488	P14651|P09026|F7FL39	ENSG00000120093|ENSMUSG00000048763|ENSRNOG00000008313	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXB4	-	Homeobox protein Hox-B4 	9606|10090|10116	3214|15412|497988	P17483|P10284|B1WBS2	ENSG00000182742|ENSMUSG00000038692|ENSRNOG00000008191	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXB5	-	Homeobox protein Hox-B5 	9606|10090|10116	3215|15413|497987	P09067|P09079|D3ZMA1	ENSG00000120075|ENSMUSG00000038700|ENSRNOG00000008010	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXB6	-	Homeobox protein Hox-B6 	9606|10090|10116	3216|15414|497986	P17509|P09023|D3ZLU8	ENSG00000108511|ENSMUSG00000000690|ENSRNOG00000007823	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXB7	-	Homeobox protein Hox-B7 	9606|10090|10116|10090|10116	3217|15404|103692126|15415|497985	P09629|P02830|P09634|P09024|P18864	ENSG00000260027|ENSMUSG00000038236|ENSRNOG00000046361|ENSMUSG00000038721|ENSRNOG00000007611	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXB8	-	Homeobox protein Hox-B8 	9606|10090|10116	3218|15416|24457	P17481|P09632|P18863	ENSG00000120068|ENSMUSG00000056648|ENSRNOG00000007585	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXB9	-	Homeobox protein Hox-B9 	9606|10090|10116	3219|15417|287647	P17482|P20615|D3ZW24	ENSG00000170689|ENSMUSG00000020875|ENSRNOG00000007573	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXC10	-	Homeobox protein Hox-C10 	9606|10090|10116	3226|209448|315338	Q9NYD6|P31257|G3V815	ENSG00000180818|ENSMUSG00000022484|ENSRNOG00000016149	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXC11	-	Homeobox protein Hox-C11 	9606|10090|10116	3227|109663|100911859	O43248|P31313|D4ACL0	ENSG00000123388|ENSMUSG00000001656|ENSRNOG00000016141	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXC12	-	Homeobox protein Hox-C12 	9606|10090|10116	3228|15421|300262	P31275|Q8K5B8|D4ACL4	ENSG00000123407|ENSMUSG00000050328|ENSRNOG00000016116	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXC13	-	Homeobox protein Hox-C13 	9606|10090|10116	3229|15422|315337	P31276|P50207|D3ZKV8	ENSG00000123364|ENSMUSG00000001655|ENSRNOG00000028679	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXC4	-	Homeobox protein Hox-C4 	9606|10090|10116	3221|15423|24459	P09017|Q08624|P18865	ENSG00000198353|ENSMUSG00000075394|ENSRNOG00000016613	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXC5	-	Homeobox protein Hox-C5 	9606|10090|10116	3222|15424|315341	Q00444|P32043|D3ZP88	ENSG00000172789|ENSMUSG00000022485|ENSRNOG00000016598	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXC6	-	Homeobox protein Hox-C6 	9606|10090|10116	3223|15425|252885	P09630|P10629|G3V841	ENSG00000197757|ENSMUSG00000001661|ENSRNOG00000016442	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXC8	-	Homeobox protein Hox-C8 	9606|10090|10116	3224|15426|24460	P31273|P09025|P18866	ENSG00000037965|ENSMUSG00000001657|ENSRNOG00000028619	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXC9	-	Homeobox protein Hox-C9 	9606|10090|10116	3225|15427|368178	P31274|P09633|D4A0V9	ENSG00000180806|ENSMUSG00000036139|ENSRNOG00000016199	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXD1	-	Homeobox protein Hox-D1 	9606|10090|10116	3231|15429|288151	Q9GZZ0|Q01822|D4ACE4	ENSG00000128645|ENSMUSG00000042448|ENSRNOG00000001572	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXD10	-	Homeobox protein Hox-D10 	9606|10090|10116	3236|15430|303991	P28358|P28359|D4ACD8	ENSG00000128710|ENSMUSG00000050368|ENSRNOG00000001581	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXD11	-	Homeobox protein Hox-D11 	9606|10090|10116	3237|15431|102553842	P31277|P23813|A0A0G2K5B2	ENSG00000128713|ENSMUSG00000042499|ENSRNOG00000051472	TFclass_human.present	TFclass_mouse.present	NA	3.1.1	Homeo domain factors
HOXD12	-	Homeobox protein Hox-D12 	9606|10090|10116	3238|15432|366082	P35452|P23812|D3ZSN2	ENSG00000170178|ENSMUSG00000001823|ENSRNOG00000001587	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXD13	-	Homeobox protein Hox-D13 	9606|10090|10116	3239|15433|288154	P35453|P70217|D4ACD0	ENSG00000128714|ENSMUSG00000001819|ENSRNOG00000001588	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXD3	-	Homeobox protein Hox-D3 	9606|10090|10116	3232|15434|288152	P31249|P09027|P18867	ENSG00000128652|ENSMUSG00000079277|ENSRNOG00000001577	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXD4	-	Homeobox protein Hox-D4 	9606|10090|10116	3233|15436|288153	P09016|P10628|D4ACE1	ENSG00000170166|ENSMUSG00000101174|ENSRNOG00000001578	TFclass_human.present	NA	TFclass_rat.present	3.1.1	Homeo domain factors
HOXD8	-	Homeobox protein Hox-D8 	9606|10090|10116	3234|15437|100912936	P13378|P23463|F1LWY9	ENSG00000175879|ENSMUSG00000027102|ENSRNOG00000042480	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HOXD9	-	Homeobox protein Hox-D9 	9606|10090|10116	3235|15438|688999	P28356|P28357|B5DFK3	ENSG00000128709|ENSMUSG00000043342|ENSRNOG00000001580	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.1	Homeo domain factors
HSF1	HSTF1	Heat shock factor protein 1 	9606|10116|10090|10116	3297|15499|79245|	Q00613|Q63717|P38532|F1MAF1	ENSG00000185122|ENSMUSG00000022556|ENSRNOG00000021732|	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.4.1	Heat shock factors
HSF2	-	Heat shock factor protein 2 	9606|10090|10116	3298|15500|64441	Q03933|P38533|Q9R120	ENSG00000025156|ENSMUSG00000019878|ENSRNOG00000000808	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.4.1	Heat shock factors
Hsf3	-	Heat shock factor protein 3 	10090	245525	D0VYS2	ENSMUSG00000045802	NA	TFclass_mouse.present	NA	NA	NA
HSF4	-	Heat shock factor protein 4 	9606|10090|10116	3299|26386|291960	Q9ULV5|Q9R0L1|D4A5A8	ENSG00000102878|ENSMUSG00000033249|ENSRNOG00000015253	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.4.1	Heat shock factors
HSF5	FLJ40311	Heat shock factor protein 5 	9606|10090|10116	124535|327992|688111	Q4G112|Q5ND04|A0A0G2JX71	ENSG00000176160|ENSMUSG00000070345|ENSRNOG00000056793	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.4.1	Heat shock factors
HSFX1	LW-1	Heat shock transcription factor|X-linked	9606	100506164	Q9UBD0	ENSG00000171116	TFclass_human.present	NA	NA	3.4.1	Heat shock factors
HSFX3	-	Heat shock transcription factor|X-linked member 3	9606	101928917	A0A1B0GWH4	ENSG00000283697	TFclass_human.present	NA	NA	3.4.1	Heat shock factors
HSFY1	HSF2L FLJ25453	Heat shock transcription factor|Y-linked 	9606	86614	Q96LI6	ENSG00000172468	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.4.1	Heat shock factors
Hsfy2	-	-	10090|10116	71066|316409	Q80Y37|Q5XIQ7	ENSMUSG00000045336|ENSRNOG00000038569	NA	TFclass_mouse.present	TFclass_rat.present	NA	NA
ID1	dJ857M17.1.2 bHLHb24	DNA-binding protein inhibitor ID-1 	9606|10090|10116	3397|15901|25261	P41134|P20067|P41135	ENSG00000125968|ENSMUSG00000042745|ENSRNOG00000021750	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.8	Basic helix-loop-helix factors (bHLH)
ID2	GIG8 bHLHb26	DNA-binding protein inhibitor ID-2 	9606|10090|10116	3398|15902|25587	Q02363|P41136|P41137	ENSG00000115738|ENSMUSG00000020644|ENSRNOG00000007237	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.8	Basic helix-loop-helix factors (bHLH)
ID3	HEIR-1 bHLHb25	DNA-binding protein inhibitor ID-3 	9606|10090|10116	3399|15903|25585	Q02535|P41133|P41138	ENSG00000117318|ENSMUSG00000007872|ENSRNOG00000026124	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.8	Basic helix-loop-helix factors (bHLH)
ID4	bHLHb27	DNA-binding protein inhibitor ID-4 	9606|10090|10116	3400|15904|291023	P47928|P41139|Q8CH17	ENSG00000172201|ENSMUSG00000021379|ENSRNOG00000016099	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.2.8	Basic helix-loop-helix factors (bHLH)
IKZF1	hIk-1 LyF-1 Hs.54452 IKAROS PPP1R92	DNA-binding protein Ikaros 	9606|10090|10116	10320|22778|305501	Q13422|Q03267|D4A9W4	ENSG00000185811|ENSMUSG00000018654|ENSRNOG00000004444	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
IKZF2	Helios	Zinc finger protein Helios 	9606|10090|10116	22807|22779|301476	Q9UKS7|P81183|D4A7Y7	ENSG00000030419|ENSMUSG00000025997|ENSRNOG00000027430	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
IKZF3	Aiolos	Zinc finger protein Aiolos 	9606|10090|10116	22806|22780|303511	Q9UKT9|O08900|D3ZSW3	ENSG00000161405|ENSMUSG00000018168|ENSRNOG00000007200	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
IKZF4	Eos	Zinc finger protein Eos 	9606|10090|10116	64375|22781|100361923	Q9H2S9|Q8C208|D4A636	ENSG00000123411|ENSMUSG00000002578|ENSRNOG00000005535	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
IKZF5	Pegasus FLJ22973	Zinc finger protein Pegasus 	9606|10090|10116	64376|67143|309031	Q9H5V7|Q8BU00|D3ZBK4	ENSG00000095574|ENSMUSG00000040167|ENSRNOG00000025651	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
INSM1	IA-1 IA1	Insulinoma-associated protein 1 	9606|10090	3642|53626	Q01101|Q63ZV0	ENSG00000173404|ENSMUSG00000068154	TFclass_human.present	TFclass_mouse.present	NA	2.3.4	C2H2 zinc finger factors
INSM2	IA-6 Mlt1	Insulinoma-associated protein 2 	9606|10090|10116	84684|56856|314131	Q96T92|Q9JMC2|D3ZKF8	ENSG00000168348|ENSMUSG00000045440|ENSRNOG00000007754	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	2.3.4	C2H2 zinc finger factors
IRF1	MAR	Interferon regulatory factor 1 	9606|10090|10116	3659|16362|24508	P10914|P15314|P23570	ENSG00000125347|ENSMUSG00000018899|ENSRNOG00000008144	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.3	Tryptophan cluster factors
IRF2	-	Interferon regulatory factor 2 	9606|10090|10116	3660|16363|290749	P14316|P23906|Q0PXQ8	ENSG00000168310|ENSMUSG00000031627|ENSRNOG00000009824	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.3	Tryptophan cluster factors
IRF3	-	Interferon regulatory factor 3 	9606|10090|10090|10116	3661|54131|292892|	Q14653|O54726|P70671|Q5XIB0	ENSG00000126456|ENSMUSG00000003184|ENSRNOG00000043388|	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.3	Tryptophan cluster factors
IRF4	LSIRF	Interferon regulatory factor 4 	9606|10090|10116	3662|16364|291100	Q15306|Q64287|D3ZEX6	ENSG00000137265|ENSMUSG00000021356|ENSRNOG00000061070	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.3	Tryptophan cluster factors
IRF5	IRF-5	Interferon regulatory factor 5 	9606|10090|10116	3663|27056|296953	Q13568|P56477|D3ZPU1	ENSG00000128604|ENSMUSG00000029771|ENSRNOG00000007437	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.3	Tryptophan cluster factors
IRF6	OFC6 VWS1	Interferon regulatory factor 6 	9606|10090|10116	3664|54139|364081	O14896|P97431|D4AAV0	ENSG00000117595|ENSMUSG00000026638|ENSRNOG00000005082	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.3	Tryptophan cluster factors
IRF7	-	Interferon regulatory factor 7 	9606|10090|10116	3665|54123|293624	Q92985|P70434|F7FGY2	ENSG00000185507|ENSMUSG00000025498|ENSRNOG00000017414	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.3	Tryptophan cluster factors
IRF8	IRF-8 ICSBP	Interferon regulatory factor 8 	9606|10090|10116	3394|15900|292060	Q02556|P23611|Q5NUI4	ENSG00000140968|ENSMUSG00000041515|ENSRNOG00000017869	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.3	Tryptophan cluster factors
IRF9	-	Interferon regulatory factor 9 	9606|10090|10116	10379|16391|305896	Q00978|Q61179|G3V8J4	ENSG00000213928|ENSMUSG00000002325|ENSRNOG00000019478	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.5.3	Tryptophan cluster factors
IRX1	IRX-5	Iroquois-class homeodomain protein IRX-1 	9606|10090|10116	79192|16371|306659	P78414|P81068|D4A9L1	ENSG00000170549|ENSMUSG00000060969|ENSRNOG00000033609	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.4	Homeo domain factors
IRX2	-	Iroquois-class homeodomain protein IRX-2 	9606|10090|10116	153572|16372|306657	Q9BZI1|P81066|D3ZGA0	ENSG00000170561|ENSMUSG00000001504|ENSRNOG00000012742	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.4	Homeo domain factors
IRX3	IRX-1	Iroquois-class homeodomain protein IRX-3 	9606|10090|10116	79191|16373|307721	P78415|P81067|D3ZNE0	ENSG00000177508|ENSMUSG00000031734|ENSRNOG00000011533	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.4	Homeo domain factors
IRX4	-	Iroquois-class homeodomain protein IRX-4 	9606|10090|10116	50805|50916|306655	P78413|Q9QY61|D3ZRI4	ENSG00000113430|ENSMUSG00000021604|ENSRNOG00000012720	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.4	Homeo domain factors
IRX5	IRX-2a	Iroquois-class homeodomain protein IRX-5 	9606|10090|10116	10265|54352|498918	P78411|Q9JKQ4|G3V7I4	ENSG00000176842|ENSMUSG00000031737|ENSRNOG00000011180	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.4	Homeo domain factors
IRX6	IRX-3	Iroquois-class homeodomain protein IRX-6 	9606|10090|10116	79190|64379|307715	P78412|Q9ER75|D4A7R4	ENSG00000159387|ENSMUSG00000031738|ENSRNOG00000011037	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.4	Homeo domain factors
ISL1	Isl-1 ISLET1	Insulin gene enhancer protein ISL-1 	9606|10090|10116	3670|16392|64444	P61371|P61372|P61374	ENSG00000016082|ENSMUSG00000042258|ENSRNOG00000012556	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.5	Homeo domain factors
ISL2	FLJ10160	Insulin gene enhancer protein ISL-2 	9606|10090|10116	64843|104360|57233	Q96A47|Q9CXV0|P50480	ENSG00000159556|ENSMUSG00000032318|ENSRNOG00000015336	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.5	Homeo domain factors
ISX	RAXLX	Intestine-specific homeobox 	9606|10090|10116	91464|71597|682968	Q2M1V0|A1A546|F1M478	ENSG00000175329|ENSMUSG00000031621|ENSRNOG00000039808	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.1.3	Homeo domain factors
JARID2	-	Protein Jumonji 	9606|10090|10116	3720|16468|681740	Q92833|Q62315|M0RBV7	ENSG00000008083|ENSMUSG00000038518|ENSRNOG00000045918	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	3.7.1	ARID domain factors
JDP2	-	Jun dimerization protein 2	9606|10090|10116	122953|81703|116674	Q8WYK2|P97875|Q78E65	ENSG00000140044|ENSMUSG00000034271|ENSRNOG00000008224	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.2	Basic leucine zipper factors (bZIP)
JUN	c-Jun AP-1	Transcription factor Jun 	9606|10090|10116	3725|16476|24516	P05412|P05627|P17325	ENSG00000177606|ENSMUSG00000052684|ENSRNOG00000026293	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.1	Basic leucine zipper factors (bZIP)
JUNB	-	Transcription factor JunB 	9606|10090|10116	3726|16477|24517	P17275|P09450|P24898	ENSG00000171223|ENSMUSG00000052837|ENSRNOG00000042838	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.1	Basic leucine zipper factors (bZIP)
JUND	AP-1	Transcription factor JunD 	9606|10090|10116	3727|16478|24518	P17535|P15066|P52909	ENSG00000130522|ENSMUSG00000071076|ENSRNOG00000019568	TFclass_human.present	TFclass_mouse.present	TFclass_rat.present	1.1.1	Basic leucine zipper factors (bZIP)
